标题	正文页URL
上海市中小学校外实践教育促进规定	https://www.shrd.gov.cn/shrd/fggb/content/1b487b84-0561-437d-a846-d761b60dfd1d.html
上海市推进国际金融中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/3fbd82f0-9ac2-496a-9323-08610c660db1.html
上海市人民代表大会常务委员会关于修改《上海市殡葬管理条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/703c89d9-d045-4961-93c6-80809a219820.html
上海市科学技术进步条例	https://www.shrd.gov.cn/shrd/fggb/content/fe569e57-edf5-4698-aadd-6052e0417d3a.html
上海市人民代表大会常务委员会关于修改《上海市非机动车安全管理条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/aa625269-0254-4308-95af-ee049faf28d4.html
上海市促进长三角生态绿色一体化发展示范区高质量发展条例	https://www.shrd.gov.cn/shrd/fggb/content/55ea819a-735b-45a0-b98f-ab84724da368.html
上海市无废城市建设条例	https://www.shrd.gov.cn/shrd/fggb/content/ee87a7a9-44fb-4ed3-ac26-7a3e1e3ef911.html
上海市推进国际贸易中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/7529e95c-9090-4a83-b31b-e604d3904171.html
上海市人民代表大会常务委员会关于修改《上海市养老服务条例》等12件地方性法规和废止《上海市保护和发展邮电通信规定》等6件地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/6732d517-985c-4062-993f-11d6534e5a37.html
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会关于区县和乡镇人民代表大会工作的若干规定》等5件地方性法规和废止《上海市预防职务犯罪工作若干规定》的决定	https://www.shrd.gov.cn/shrd/fggb/content/eca10da6-603c-4c25-b73b-6fff18fdd0ff.html
上海市发展方式绿色转型促进条例	https://www.shrd.gov.cn/shrd/fggb/content/53297686-a7e7-44a3-a913-aef23ebe929e.html
上海市人民代表大会常务委员会关于修改《上海市优化营商环境条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/a53f12a5-24d7-4bdb-bc84-2906a80015bc.html
上海市体育发展条例	https://www.shrd.gov.cn/shrd/fggb/content/8fc00f34-52f9-4ea2-84e4-e4112fd496e2.html
上海市实施《中华人民共和国土地管理法》办法	https://www.shrd.gov.cn/shrd/fggb/content/2c5595b4-2ca1-48c7-bff4-eaf3044be528.html
上海市推进国际商事仲裁中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/d5e0342a-43c6-42a5-82e8-4e0eaeccb92c.html
上海市人民代表大会常务委员会关于促进和保障“五个新城”建设的决定	https://www.shrd.gov.cn/shrd/fggb/content/23809c52-605c-4ae9-82a3-bfbd17c53129.html
上海市种子条例	https://www.shrd.gov.cn/shrd/fggb/content/0928f23c-83e1-4bd5-ad45-b8e11ca94a57.html
上海市爱国卫生与健康促进条例	https://www.shrd.gov.cn/shrd/fggb/content/98a1eee8-3f8b-45f8-9443-240fdb3bf6c3.html
上海市促进浦东新区标准化创新发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/075527d2-42b3-4046-a8a4-aa5a9ad5e731.html
上海市土壤污染防治条例	https://www.shrd.gov.cn/shrd/fggb/content/786d0bdb-4ee5-48dd-8ea5-832733684bf0.html
上海市促进浦东新区融资租赁发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/4b8c30c1-fe8f-4b05-839b-f92629a8b3f4.html
上海市健全浦东新区生态环境保护制度若干规定	https://www.shrd.gov.cn/shrd/fggb/content/0395d1aa-5173-4236-b2b0-a697d2e3ac80.html
上海市野生动物保护条例	https://www.shrd.gov.cn/shrd/fggb/content/b87c3287-7350-424f-889d-b6b4aa390f25.html
上海市制定地方性法规条例	https://www.shrd.gov.cn/shrd/fggb/content/e1391534-3236-46ec-a973-e0a9bba91b19.html
上海市就业促进条例	https://www.shrd.gov.cn/shrd/fggb/content/f75d3a3f-d832-4040-96dd-d3c7785f1cbd.html
上海市无障碍环境建设条例	https://www.shrd.gov.cn/shrd/fggb/content/814c6531-72e2-435f-8dd9-3406b0b47255.html
上海市浦东新区固体废物资源化再利用若干规定	https://www.shrd.gov.cn/shrd/fggb/content/1dfc080a-2e99-4300-979c-3ceda3b4eb8b.html
上海市船舶污染防治条例	https://www.shrd.gov.cn/shrd/fggb/content/41cca11a-b366-4523-bbf2-8f2246de3b5a.html
上海市住房租赁条例	https://www.shrd.gov.cn/shrd/fggb/content/6add24a6-14f1-4996-9f60-d542820a79cf.html
上海市学前教育与托育服务条例	https://www.shrd.gov.cn/shrd/fggb/content/a38afc9e-aa30-49fb-96cc-5cfa7157b4ec.html
上海市浦东新区促进无驾驶人智能网联汽车创新应用规定	https://www.shrd.gov.cn/shrd/fggb/content/d2b7510c-8845-4e66-ae04-f80e61e88031.html
