分类,类型,层级,标题,文号,发布单位,发布日期,状态,来源,官方链接,正文
规划与土地,实施意见,市级,关于印发《工业企业配建自用专门放置危化品小型库房指导意见（试行）》的通知,沪规划资源建〔2025〕290号,上海市规划和自然资源局,2025-07-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::682f974b795d46e49398189681d3782f,
规划与土地,实施意见,市级,关于印发《上海市落实土地征收成片开发标准的若干意见》的通知,沪规划资源施〔2025〕292号,上海市规划和自然资源局,2025-07-29,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::e4b73e9692eb4f428d6408f125faa7e6,
规划与土地,办法,区级,关于印发《长宁区未实施建设项目土地管理办法》的通知,长规划资源规〔2025〕2号,上海市长宁区规划和自然资源局,2025-07-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0074::007478142,docs/规划与土地/关于印发《长宁区未实施建设项目土地管理办法》的通知.md
规划与土地,办法,区级,关于印发《长宁区土地储备成本认定管理办法》的通知,长规划资源规〔2025〕1号,上海市长宁区规划和自然资源局,2025-07-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0074::007478141,docs/规划与土地/关于印发《长宁区土地储备成本认定管理办法》的通知.md
规划与土地,实施意见,市级,关于印发《上海城市空间治理领域人工智能应用暨量子城市空间智能建设工作实施方案（2026—2027年）》的通知,沪规划资源数〔2025〕254号,上海市规划和自然资源局,2025-07-08,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::f7e64fe836214862a36a4554208ffe73,
规划与土地,规划与计划,市级,关于印发《上海市市政交通基础设施详细规划实施深化操作规程》和《上海市市政交通基础设施详细规划实施深化应用清单（2025版）》的通知,沪规划资源政〔2025〕261号,上海市规划和自然资源局,2025-07-10,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::21b66e24966a4aa39972af18e5ab6f37,
规划与土地,技术规定与导则,市级,上海市住房和城乡建设管理委员会关于批准《优秀历史建筑数字化测绘技术标准》为上海市工程建设规范的通知,沪建标定〔2025〕300号,上海市住房和城乡建设管理委员会,2025-06-11,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::4853f556bce74c938b66de1eee65d0cb,docs/规划与土地/上海市住房和城乡建设管理委员会关于批准《优秀历史建筑数字化测绘技术标准》为上海市工程建设规范的通知.md
规划与土地,技术规定与导则,市级,上海市住房和城乡建设管理委员会关于批准《国土空间综合整治工程技术标准》为上海市工程建设规范的通知,沪建标定〔2025〕200号,上海市住房和城乡建设管理委员会,2025-04-08,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0011::59617b927b2a484ebabdf255710eb9aa,docs/规划与土地/上海市住房和城乡建设管理委员会关于批准《国土空间综合整治工程技术标准》为上海市工程建设规范的通知.md
规划与土地,通知公告,市级,上海市卫生健康委员会关于公布上海市新增专科医师规范化培训基地名单的通知,沪卫科教〔2025〕10号,上海市卫生健康委员会,2025-05-23,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0012::cefde71976d646e5bebcae4591a7892d,
规划与土地,办法,市级,关于印发《上海市测绘地理信息质量管理办法》的通知,沪规划资源规〔2025〕5号,上海市规划和自然资源局,2025-04-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::6249724156f846c99d221e3c9d80a2ed,docs/规划与土地/关于印发《上海市测绘地理信息质量管理办法》的通知.md
规划与土地,规定,市级,关于修订《上海市国有建设用地上临时建设和临时建设用地规划管理规定》的通知,沪规划资源规〔2025〕4号,上海市规划和自然资源局,2025-04-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::19c328d5b27145dfbd7cc5135f3246ed,docs/规划与土地/关于修订《上海市国有建设用地上临时建设和临时建设用地规划管理规定》的通知.md
规划与土地,通知公告,市级,关于做好耕地种植用途管控工作的通知,沪农委〔2025〕96号,上海市农业农村委员会,2025-04-22,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0009::02922f92b2be49fead629af736b06348,
规划与土地,办法,市级,关于印发《上海市城乡规划违法建设行政处罚裁量基准实施办法》的通知,沪规划资源规〔2025〕2号,上海市规划和自然资源局,2025-04-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::31bc4d8b92544270b8f71c3ae9dc9806,docs/规划与土地/关于印发《上海市城乡规划违法建设行政处罚裁量基准实施办法》的通知.md
规划与土地,规定,市级,关于《上海市城市规划管理技术规定（土地使用 建筑管理）应用解释》继续适用的通知,沪规划资源建〔2025〕131号,上海市规划和自然资源局,2025-04-16,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::72d2cd5662b54f14b2375a5e984867a3,docs/规划与土地/关于《上海市城市规划管理技术规定（土地使用 建筑管理）应用解释》继续适用的通知.md
规划与土地,规划与计划,市级,关于印发《黄浦江沿岸地区功能融合发展和空间品质提升专项规划（2025—2035年）》的通知,沪规划资源详〔2025〕109号,上海市规划和自然资源局,2025-03-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::59d4191089dd4036a4db6fda55cc76aa,
规划与土地,规划与计划,市级,关于印发《苏州河沿岸地区整体风貌与开放空间提升专项规划（2025—2035年）》的通知,沪规划资源详〔2025〕110号,上海市规划和自然资源局,2025-03-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::46720fd0e810479eb30bd2a09fefa6d5,
规划与土地,规划与计划,市级,关于印发《“大零号湾”科技创新策源功能区专项规划（2025—2035年）》的通知,沪规划资源总〔2025〕95号,上海市规划和自然资源局,2025-03-20,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::6f929cf98bad4c529c3b3d073a7fe02e,
规划与土地,通知公告,市级,关于印发《上海市商务楼宇综合评价指南（试行）》的通知,沪规划资源详〔2025〕82号,上海市规划和自然资源局,2025-03-12,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::cada6f71ddac4759a84846692eabd59d,
规划与土地,规定,市级,关于印发《关于加强不动产登记失信信息管理的若干规定》的通知,沪自然资源登〔2025〕67号,上海市规划和自然资源局,2025-02-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::f518ff6dcf7c45d8b6ebc826f8dc2108,docs/规划与土地/关于印发《关于加强不动产登记失信信息管理的若干规定》的通知.md
规划与土地,规划与计划,市级,关于印发《东方枢纽及周边地区专项规划（2025—2035年）》的通知,沪规划资源总〔2025〕68号,上海市规划和自然资源局,2025-02-26,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::616219805aba48d98fd00f2fc11ca3d3,
规划与土地,实施意见,区级,浦东新区人民政府印发《关于优化浦东新区土地储备和房屋土地征收工作的指导意见》的通知,浦府〔2025〕32号,上海市浦东新区人民政府,2025-02-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070338903,
规划与土地,规划与计划,市级,关于印发《关于支持工业经济发展 加强规划资源要素保障的指导意见（2025版）》的通知,沪规划资源产〔2025〕28号,上海市规划和自然资源局,2025-01-27,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::15e394d9039b40a8a5cde52cc34b6f03,
规划与土地,规划与计划,市级,关于印发《上海市黄浦区外滩-01、02更新单元规划实施方案（暨黄浦区单元规划相关街坊局部调整）》的通知,沪规划资源更〔2025〕17号,上海市规划和自然资源局,2025-01-22,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::01e6144ff6584ea99020be12aa931799,
规划与土地,实施意见,区级,关于印发修订后《徐汇区关于产业用地履约达产协同管理的若干意见》的通知,徐新工办规〔2025〕2号,上海市徐汇区新型工业化推进办公室,2025-01-23,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0073::0073542812,
规划与土地,实施细则,区级,关于延长《浦东新区促进存量产业用地提质增效实施细则（试行）》有效期的通知,浦科经委规〔2024〕11号,上海市浦东新区科技和经济委员会,2024-12-27,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070340268,docs/规划与土地/关于延长《浦东新区促进存量产业用地提质增效实施细则（试行）》有效期的通知.md
规划与土地,规划与计划,市级,关于印发《上海工程土方综合利用空间图则指引（近期）》《上海工程土方综合利用空间规划指引（2024—2035）》《关于加强本市工程土方综合利用的规划资源管理指导意见》的通知,沪规划资源施〔2024〕549号,上海市规划和自然资源局,2024-12-27,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::dea2e8817d3c43cab6381e0656f63e82,
规划与土地,实施意见,街镇级,上海市奉贤区人民政府头桥街道办事处关于印发《头桥街道建设用地减量化工作实施方案（2025年—2027年）》的通知,奉头街〔2024〕13号,上海市奉贤区人民政府头桥街道办事处,2024-12-23,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0084::0084985,
规划与土地,实施细则,市级,关于印发《关于上海市改革完善耕地占补平衡制度的操作细则（试行）》的通知,沪规划资源施〔2024〕537号,上海市规划和自然资源局,2024-12-20,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::3e2cc81a785446f6a7ea65da7a368b59,docs/规划与土地/关于印发《关于上海市改革完善耕地占补平衡制度的操作细则（试行）》的通知.md
规划与土地,规定,市级,关于印发《上海市出让农村集体经营性建设用地使用权不动产登记技术规定（试行）》的通知,沪规划资源规〔2024〕6号,上海市规划和自然资源局,2024-12-20,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::01952fcd120c41bdbcd0e21fb73d31e8,docs/规划与土地/关于印发《上海市出让农村集体经营性建设用地使用权不动产登记技术规定（试行）》的通知.md
规划与土地,通知公告,市级,上海市绿化和市容管理局关于发布第一批上海市野生动物栖息地名录的通知,沪绿容〔2024〕444号,上海市绿化和市容管理局,2024-12-13,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0039::0200f784-fd68-44ed-b6ce-8469c4a778b2,
规划与土地,实施意见,区级,关于延长《金山区农民平移集中居住用地补偿指导意见》有效期的通知,金农规〔2024〕7号,上海市金山区农业农村委员会,2024-12-13,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0081::0081553,
规划与土地,审查与许可规则,街镇级,关于印发《洋泾街道关于辖区内临时停车场开业备案用地核查流程》的通知,浦洋办〔2024〕43号,上海市浦东新区人民政府洋泾街道办事处,2024-12-03,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070334988,docs/规划与土地/关于印发《洋泾街道关于辖区内临时停车场开业备案用地核查流程》的通知.md
规划与土地,通知公告,市级,关于转发《自然资源部办公厅关于依法规范做好国土调查政府信息公开工作的通知》的通知,沪规划资源调〔2024〕487号,上海市规划和自然资源局,2024-11-18,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::3844e8011de14c80a0b5ec24f4e715ea,
规划与土地,通知公告,市级,关于协同推进本市水资源基础调查的通知,沪规划资源调〔2024〕424号,上海市规划和自然资源局,2024-10-10,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::6f49d432af8c4109847664bd55dd5d78,
规划与土地,规划与计划,区级,关于印发《嘉定区海绵城市规划建设管理工作指引（试行）》的通知,嘉建管规范联〔2024〕3号,上海市嘉定区建设和管理委员会,2024-10-09,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0080::5_197518,
规划与土地,办法,区级,上海市嘉定区规划和自然资源局关于印发《嘉定区社区规划师制度实施办法》的通知,嘉规划资源〔2024〕13号,上海市嘉定区规划和自然资源局,2024-09-11,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0080::5_181167,docs/规划与土地/上海市嘉定区规划和自然资源局关于印发《嘉定区社区规划师制度实施办法》的通知.md
规划与土地,办法,区级,关于印发《宝山区社区规划师制度实施办法（试行）》的通知,宝规划资源〔2024〕2号,上海市宝山区规划和自然资源局,2024-09-10,失效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0078::20f8784a-a730-4b5b-a822-4df65a50e937,docs/规划与土地/关于印发《宝山区社区规划师制度实施办法（试行）》的通知.md
规划与土地,实施意见,市级,关于印发《上海市加强城市地质安全风险防控实施方案》的通知,沪规划资源质〔2024〕365号,上海市规划和自然资源局,2024-09-05,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::523efc1d4eba4fd491a1e81a2e507fb7,
规划与土地,办法,市级,上海市生态环境局、上海市规划和自然资源局关于印发《上海市建设用地土壤污染责任人认定实施办法》的通知,沪环规〔2024〕12号,上海市生态环境局,2024-08-30,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0024::bf83c20301d64e4790a91509a1606023,docs/规划与土地/上海市生态环境局、上海市规划和自然资源局关于印发《上海市建设用地土壤污染责任人认定实施办法》的通知.md
规划与土地,规划与计划,市级,关于印发《加强规划资源政策创新集成 加快推进重大科技创新产业项目建设的若干意见》的通知,沪规划资源建〔2024〕357号,上海市规划和自然资源局,2024-08-27,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::c03ae4ae61cd41aea1de73d0318ade72,
规划与土地,通知公告,市级,关于优化本市新出让商品住房用地套型供应结构的通知,沪房建管〔2024〕101号,上海市房屋管理局,2024-08-21,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0013::a28996f5399d4685818a41dddba3f8a0,
规划与土地,规划与计划,市级,关于印发《关于进一步完善上海市详细规划实施深化的工作意见》的通知,沪规划资源建〔2024〕336号,上海市规划和自然资源局,2024-08-14,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::eb2e76770a1443d295930154811af11a,
